철도운영기관명,선명,역명,역간거리
코레일,1호선,연천,0
코레일,1호선,전곡,8.7
코레일,1호선,청산,3.3
코레일,1호선,소요산,2.46
코레일,1호선,동두천,2.5
코레일,1호선,보산,1.6
코레일,1호선,동두천중앙,1.4
코레일,1호선,지행,1
코레일,1호선,덕정,5.6
코레일,1호선,덕계,2.9
코레일,1호선,양주,5.3
코레일,1호선,녹양,1.6
코레일,1호선,가능,1.3
코레일,1호선,의정부,1.2
코레일,1호선,회룡,1.6
코레일,1호선,망월사,1.4
코레일,1호선,도봉산,2.3
코레일,1호선,도봉,1.2
코레일,1호선,방학,1.3
코레일,1호선,창동,1.7
코레일,1호선,녹천,1
코레일,1호선,월계,1.4
코레일,1호선,광운대,1.1
코레일,1호선,석계,1.1
코레일,1호선,신이문,1.4
코레일,1호선,외대앞,0.8
코레일,1호선,회기,0.8
코레일,1호선,남영,1.5
코레일,1호선,용산,1.8
코레일,1호선,노량진,1.5
코레일,1호선,대방,0.8
코레일,1호선,신길,0.8
코레일,1호선,영등포,1.5
코레일,1호선,신도림,1.1
코레일,1호선,구로,2.4
코레일,1호선,구일,1
코레일,1호선,개봉,1.3
코레일,1호선,오류동,1.9
코레일,1호선,온수,1.3
코레일,1호선,역곡,1.5
코레일,1호선,소사,1.1
코레일,1호선,부천,1.7
코레일,1호선,중동,1
코레일,1호선,송내,1.2
코레일,1호선,부개,1.5
코레일,1호선,부평,1.7
코레일,1호선,백운,1.5
코레일,1호선,동암,1.2
코레일,1호선,간석,1.2
코레일,1호선,주안,1
코레일,1호선,도화,1
코레일,1호선,제물포,1.4
코레일,1호선,도원,1.2
코레일,1호선,동인천,1.9
코레일,1호선,인천,0
코레일,1호선,가산디지털단지,2
코레일,1호선,독산,1.2
코레일,1호선,금천구청,1.9
코레일,1호선,광명,4.8
코레일,1호선,석수,1.9
코레일,1호선,관악,2.4
코레일,1호선,안양,2.2
코레일,1호선,명학,1.4
코레일,1호선,금정,2.2
코레일,1호선,군포,1.6
코레일,1호선,당정,2.6
코레일,1호선,의왕,2.9
코레일,1호선,성균관대,2.6
코레일,1호선,화서,2.1
코레일,1호선,수원,2.9
코레일,1호선,세류,4.3
코레일,1호선,병점,2.4
코레일,1호선,서동탄,2.2
코레일,1호선,세마,2.7
코레일,1호선,오산대,2.7
코레일,1호선,오산,4
코레일,1호선,진위,3.8
코레일,1호선,송탄,2.2
코레일,1호선,서정리,4.8
코레일,1호선,평택지제,3.7
코레일,1호선,평택,9.4
코레일,1호선,성환,5.4
코레일,1호선,직산,3.8
코레일,1호선,두정,3.8
코레일,1호선,천안,1.3
코레일,1호선,봉명,1.6
코레일,1호선,쌍용(나사렛대),1.6
코레일,1호선,아산,1.8
코레일,1호선,탕정,3.1
코레일,1호선,배방,4.9
코레일,1호선,온양온천,5.1
코레일,1호선,신창(순천향대),0
코레일,3호선,대화,0
코레일,3호선,주엽,1.4
코레일,3호선,정발산,1.6
코레일,3호선,마두,0.9
코레일,3호선,백석,1.4
코레일,3호선,대곡,2.5
코레일,3호선,화정,2.1
코레일,3호선,원당,2.6
코레일,3호선,원흥,2.9
코레일,3호선,삼송,2.1
코레일,4호선,선바위,0
코레일,4호선,경마공원,1
코레일,4호선,대공원,0.9
코레일,4호선,과천,1
코레일,4호선,정부과천청사,1
코레일,4호선,인덕원,1.6
코레일,4호선,평촌,1.3
코레일,4호선,범계,1.3
코레일,4호선,금정,2.3
코레일,4호선,산본,1.1
코레일,4호선,수리산,2.6
코레일,4호선,대야미,2
코레일,4호선,반월,3.6
코레일,4호선,상록수,1.5
코레일,4호선,한대앞,7.2
코레일,4호선,중앙,1.4
코레일,4호선,고잔,1.5
코레일,4호선,초지,1.5
코레일,4호선,안산,2.2
코레일,4호선,신길온천,2.9
코레일,4호선,정왕,1.4
코레일,4호선,오이도,2.1
