start,goal,runs_attempted,runs_successful,mean_sec,std_sec,best_sec,worst_sec
대방,건대입구,30,30,0.0002559466666666695,4.4347527051187186e-05,0.00022139999999998272,0.00044749999999998957
성수,상록수,30,30,0.0003422600000000016,2.6427657230002883e-05,0.00031769999999997633,0.0004282999999999926
봉천,독산,30,30,0.00016810333333333222,1.5848648382607185e-05,0.00015169999999997685,0.00021409999999999485
당산,남태령,30,30,0.00020877000000000813,3.481029684830719e-05,0.0001899000000000206,0.00037810000000004784
을지로4가,고덕,30,30,0.00025024999999999077,1.405972380003823e-05,0.00023419999999996222,0.00029210000000001735
경찰병원,녹번,30,30,0.00024687666666666034,3.7422031686631084e-05,0.00022480000000002498,0.00043319999999996694
병점,사당,30,30,0.00016891333333333703,1.3324356978442954e-05,0.00015609999999999236,0.00021360000000003598
평촌,경마공원,30,30,0.0001344199999999925,1.348701597834753e-05,0.0001222999999999641,0.00017899999999998473
발산,월계,30,30,0.00033597999999999126,9.561450168951146e-05,0.0002810999999999786,0.0006917000000000173
보산,잠원,30,30,0.00020918333333333667,1.7361760343409794e-05,0.0001927000000000456,0.000261200000000017
성환,간석,30,30,0.0002862366666666616,5.962011116691631e-05,0.0002331000000000416,0.00045560000000000045
두정,을지로4가,30,30,0.000256646666666673,1.6543835374188878e-05,0.00023859999999997772,0.0003038999999999681
아산,성환,30,30,0.00013800666666666795,1.6466510120726044e-05,0.00012089999999997936,0.00020420000000009875
동인천,별내별가람역,30,30,0.0003259766666666645,4.8077525472463624e-05,0.00029489999999998684,0.0005467000000000111
쌍문,당산,30,30,0.00023528000000000066,4.799930832834142e-05,0.00020699999999995722,0.00041089999999999183
녹번,영등포시장,30,30,0.00020325666666668832,1.527053117026562e-05,0.00018770000000001286,0.000249600000000072
녹천,양재,30,30,0.0002487033333333185,2.342371281889697e-05,0.0002228000000000785,0.0003102000000000382
아현,석수,30,30,0.0002517599999999972,4.669831260334886e-05,0.00021929999999992233,0.00042090000000005734
광나루,제물포,30,30,0.0003382833333333372,1.733643722208066e-05,0.00031639999999999446,0.0003852999999999218
화서,덕정,30,30,0.00037523333333333575,3.1332329771164434e-05,0.00034810000000007335,0.0004969000000000223
영등포구청,까치산,30,30,0.00015269666666665552,2.6008607335943275e-05,0.0001330999999999971,0.00027279999999996196
수리산,양천구청,30,30,0.0001846999999999969,2.0720119047294763e-05,0.00016320000000003,0.000256000000000034
미아,금천구청,30,30,0.00028351999999999636,2.2293114034002532e-05,0.0002590000000000092,0.00036809999999998233
광명,부천,30,30,0.00017586333333333333,2.59815124442367e-05,0.0001426999999999401,0.0002556000000000225
송정,까치산,30,30,0.00013776999999998152,2.2440144830193674e-05,0.0001078999999999386,0.0002067000000000041
사당,당고개,30,30,0.0003272400000000101,5.9828653113153746e-05,0.0002653999999999712,0.0004669999999999952
영등포시장,성환,30,30,0.000338533333333324,5.378548337815812e-05,0.00030689999999999884,0.0005513000000000323
정부과천청사,양평,30,30,0.00018184333333333137,1.4653320063685082e-05,0.00017020000000000923,0.00022999999999995246
뚝섬,역곡,30,30,0.0002952266666666629,5.7594796832896464e-05,0.00024649999999992733,0.00046720000000000095
애오개,백석,30,30,0.0003165333333333427,0.00013793675201174488,0.00025159999999990745,0.0009693999999998981
선릉,금호,30,30,0.00013616333333333158,1.2243514836663355e-05,0.00012459999999991922,0.00017570000000000086
마천,화곡,30,30,0.0002829766666666641,3.6614065451522266e-05,0.00024610000000002685,0.0003906000000000187
상록수,뚝섬,30,30,0.0003173399999999882,9.979710283035635e-05,0.0002510000000000012,0.0006680999999999493
종각,영등포시장,30,30,0.00019817666666667919,3.491660238657486e-05,0.00017070000000007912,0.0002879000000000076
성균관대,보산,30,30,0.00034022333333330785,5.2652209091570565e-05,0.00030730000000001034,0.0005538999999999961
신용산,구의,30,30,0.00020435333333332546,2.9729802480938514e-05,0.00017970000000000486,0.0003031000000000006
부평,고덕,30,30,0.0003072466666666718,3.3340503228879306e-05,0.000276800000000077,0.00040989999999996307
신대방,올림픽공원,30,30,0.00025883333333333775,3.4302491001232813e-05,0.00023169999999994584,0.0003650000000000597
선바위,굽은다리,30,30,0.00028201000000000663,5.6628522554146825e-05,0.0002503000000000366,0.0005328999999999473
백운,신대방,30,30,0.00015357666666666233,2.670920794199107e-05,0.00012830000000008113,0.00022450000000007186
백운,초지,30,30,0.0002955933333333179,4.6357659800976316e-05,0.00024809999999997334,0.0004334000000000282
옥수,제기동,30,30,0.00017149333333332423,2.9625607541818705e-05,0.00014710000000006662,0.0002522999999999831
동대문역사문화공원,석수,30,30,0.00027233000000000953,4.241207493155826e-05,0.00024199999999996447,0.00044040000000000745
독산,상왕십리,30,30,0.00023029000000000335,4.181786181366843e-05,0.00019999999999997797,0.00038810000000000233
화정,석계,30,30,0.00020717333333333625,3.322983532242209e-05,0.00017770000000005837,0.0002942000000000222
의정부,온양온천,30,30,0.0003782699999999954,7.415379131687785e-05,0.00032319999999996796,0.0005813000000000068
