start,goal,runs_attempted,runs_successful,mean_sec,std_sec,best_sec,worst_sec
대방,건대입구,30,30,9.590666666667488e-05,9.126990498291843e-06,9.069999999999911e-05,0.00013820000000008825
성수,상록수,30,30,0.00025316999999998405,6.0586291903924364e-05,0.00022420000000000773,0.00044069999999996057
봉천,독산,30,30,2.9853333333344315e-05,8.119677059809247e-06,2.4999999999941735e-05,6.6400000000022e-05
당산,남태령,30,30,7.4173333333342e-05,3.567994706026194e-05,5.3699999999934356e-05,0.00016820000000006274
을지로4가,고덕,30,30,4.7993333333336735e-05,6.14518420301798e-06,4.4599999999950235e-05,7.6000000000076e-05
경찰병원,녹번,30,30,0.00017244000000000333,9.765742845954939e-06,0.00016369999999998885,0.00021009999999999085
병점,사당,30,30,0.0002538133333333303,0.00010847729941738197,0.00021300000000001873,0.0007945999999999787
평촌,경마공원,30,30,2.6340000000002472e-05,6.812521119233824e-05,1.180000000000625e-05,0.00039290000000002934
발산,월계,30,30,0.0001618233333333293,8.637001151379069e-06,0.0001546999999999521,0.00020050000000004786
보산,잠원,30,30,0.0002640233333333408,4.582992241853665e-05,0.00023810000000001885,0.0004151000000000016
성환,간석,30,30,0.0002750200000000147,9.046121231409186e-05,0.000238400000000083,0.0005964000000000524
두정,을지로4가,30,30,0.0002658033333333254,1.2825508003805766e-05,0.0002510000000000012,0.0003101999999999272
아산,성환,30,30,1.1973333333318662e-05,2.719428044442672e-06,1.0699999999919108e-05,2.5100000000000122e-05
동인천,별내별가람역,30,30,0.00015696333333334496,7.610408807829978e-06,0.000151200000000018,0.00018899999999999473
쌍문,당산,30,30,0.00014677333333331286,7.917698880078569e-06,0.0001402999999999821,0.00017979999999995222
녹번,영등포시장,30,30,8.96466666666503e-05,1.9650084534728962e-05,8.090000000005038e-05,0.0001694999999999336
녹천,양재,30,30,0.00010319000000000114,6.599462099279209e-06,9.700000000001374e-05,0.00013089999999993385
아현,석수,30,30,7.291333333332798e-05,5.4461444058268095e-06,6.90999999999331e-05,9.710000000007213e-05
광나루,제물포,30,30,0.00018529999999999935,3.50519043705294e-05,0.00016640000000001098,0.0003102999999999856
화서,덕정,30,30,0.0002402966666666691,3.728331604826927e-05,0.00022449999999996084,0.0003933999999999882
영등포구청,까치산,30,30,3.185333333332411e-05,5.10037471389329e-06,2.9699999999910354e-05,5.789999999994411e-05
수리산,양천구청,30,30,9.628000000000414e-05,5.4136494160759075e-06,9.299999999989872e-05,0.00012030000000007313
미아,금천구청,30,30,0.00016388999999998876,8.317305252714543e-06,0.00015719999999996848,0.00019800000000003148
광명,부천,30,30,3.9283333333328675e-05,5.604170074330927e-06,3.540000000001875e-05,6.569999999994636e-05
송정,까치산,30,30,1.9733333333334566e-05,4.57145734118189e-06,1.7900000000015126e-05,4.2600000000003746e-05
사당,당고개,30,30,0.00010880666666667205,7.325705123434386e-06,0.00010260000000006375,0.00014089999999999936
영등포시장,성환,30,30,7.49100000000058e-05,5.290957695301738e-06,7.059999999992073e-05,9.650000000005488e-05
정부과천청사,양평,30,30,0.00011323333333332167,1.6327856224543386e-05,0.000101600000000035,0.00018230000000007962
뚝섬,역곡,30,30,0.00014403666666667664,7.2869967903100525e-06,0.0001364000000000365,0.0001745999999999137
애오개,백석,30,30,0.00014787999999999284,8.855446534956096e-06,0.00014179999999996973,0.00018660000000003674
선릉,금호,30,30,6.695666666668431e-05,1.7459089005116645e-05,5.7100000000032125e-05,0.0001246999999999776
마천,화곡,30,30,0.00021654666666666157,1.558308342045902e-05,0.0002062999999999926,0.00028519999999998547
상록수,뚝섬,30,30,0.00017032666666666103,1.16473153797578e-05,0.00016059999999995522,0.00020730000000002136
종각,영등포시장,30,30,5.5446666666673455e-05,5.376599503600595e-06,5.209999999999937e-05,8.019999999997474e-05
성균관대,보산,30,30,0.00023882000000000254,3.534686596197396e-05,0.0002138999999999891,0.00034970000000000834
신용산,구의,30,30,5.459666666667307e-05,4.8393169857847986e-06,5.179999999993523e-05,7.820000000002825e-05
부평,고덕,30,30,0.00021861333333333954,3.568987469236138e-05,0.00019800000000003148,0.00039600000000006297
신대방,올림픽공원,30,30,0.00012422999999998075,1.3379814398315729e-05,0.00011699999999992272,0.00018859999999998323
선바위,굽은다리,30,30,0.00011710666666665907,5.563700167654113e-05,9.689999999995536e-05,0.0003811000000000231
백운,신대방,30,30,0.00012706333333332523,7.789329596043476e-06,0.00012089999999997936,0.00015940000000003174
백운,초지,30,30,7.748999999999858e-05,5.6898359671736086e-06,7.389999999996011e-05,0.00010310000000002262
옥수,제기동,30,30,3.4346666666677333e-05,3.924855269798251e-06,3.210000000009039e-05,5.359999999998699e-05
동대문역사문화공원,석수,30,30,0.00010391333333333493,7.013688203956013e-06,9.890000000001287e-05,0.0001364000000000365
독산,상왕십리,30,30,0.000158956666666669,7.716591792288753e-06,0.000152000000000041,0.00019000000000002348
화정,석계,30,30,0.00012935000000000585,1.3008708621541213e-05,0.00011859999999996873,0.00018660000000003674
의정부,온양온천,30,30,0.00023465666666666236,9.932562050583569e-06,0.0002263000000000126,0.00026809999999999334
양천구청,보산,30,30,0.000171353333333335,8.258358728525415e-06,0.0001643000000000061,0.00020370000000002886
독립문,풍양역,30,30,0.00012136333333333897,8.736035841395218e-06,0.00011609999999995235,0.00016059999999995522
천호,노원,30,30,8.226000000000807e-05,6.370379371236229e-06,7.80000000000225e-05,0.00011230000000006513
광화문,대림,30,30,0.00010062666666665147,6.060909356042823e-06,9.439999999993898e-05,0.0001270999999999356
동암,두정,30,30,0.00015694666666666486,8.321087001643229e-06,0.00014959999999997198,0.0001915000000000111
을지로4가,군포,30,30,0.000145549999999998,3.119802077055504e-05,0.00013099999999999223,0.0002556000000000225
오류동,오금,30,30,0.00015951000000000344,3.204760365456989e-05,0.00014630000000004362,0.00029660000000009124
종합운동장,혜화,30,30,0.00010587333333333208,9.896394405146964e-06,9.739999999991422e-05,0.00014579999999997373
서대문,강동,30,30,7.514000000001057e-05,6.488122481372283e-06,7.069999999997911e-05,0.00010440000000000449
대야미,화서,30,30,2.7096666666670544e-05,4.4312890023444705e-06,2.489999999999437e-05,4.7200000000025e-05
선릉,아산,30,30,0.0001041099999999832,6.709016321324997e-06,9.80000000000425e-05,0.0001302999999999166
대방,수리산,30,30,0.0001434033333333214,5.6617826894209785e-05,0.00011790000000000411,0.0004085999999999812
이촌,동작,30,30,5.2633333333163005e-06,2.891652737720922e-06,4.199999999898729e-06,1.9699999999955864e-05
정부과천청사,가락시장,30,30,7.270333333333489e-05,6.942165048119798e-06,6.819999999996273e-05,0.00010139999999991822
석계,충무로,30,30,0.00010650000000000567,3.618799064146938e-05,9.0400000000046e-05,0.000261600000000084
명동,평택,30,30,0.00013256333333333536,2.733923289991216e-05,0.00012060000000002624,0.0002290999999999821
대곡,수원,30,30,0.00023339999999999472,1.1423542941364301e-05,0.00021999999999999797,0.0002687000000000106
평택,발산,30,30,0.000244906666666674,3.402287400493129e-05,0.00022759999999999447,0.00039880000000003246
동암,연신내,30,30,0.00020495000000000745,2.8359545718044346e-05,0.00018739999999994872,0.0003228000000000675
둔촌동,회기,30,30,8.659666666666436e-05,7.151898737789714e-06,8.140000000000924e-05,0.00011709999999998111
홍대입구,가능,30,30,9.512666666667095e-05,3.578383185493221e-05,8.440000000009551e-05,0.0002849999999999797
신설동,창동,30,30,4.4170000000006335e-05,4.173339989347936e-06,4.170000000003338e-05,6.430000000001712e-05
개봉,대방,30,30,3.5169999999988084e-05,1.1006911465058796e-05,2.7299999999952362e-05,7.139999999994373e-05
양천구청,신길,30,30,2.9780000000005173e-05,4.4568598811243666e-06,2.670000000004613e-05,4.9100000000024124e-05
삼성,구일,30,30,0.00013604333333333923,3.5127469624525694e-05,0.00011130000000003637,0.00023180000000000422
삼송,까치산,30,30,0.00010281666666667559,7.045380677359072e-06,9.870000000000712e-05,0.0001326999999999856
남영,진위,30,30,0.00010519000000000315,2.3926294461677742e-05,9.020000000004025e-05,0.00017690000000003536
금천구청,홍제,30,30,0.00012044999999998677,2.7389922112600088e-05,0.00010549999999998061,0.00021020000000004924
도곡,도림천,30,30,0.00014094666666667106,0.00010676886166959533,9.979999999998324e-05,0.0005340999999999818
중앙,마곡,30,30,0.00010406666666666897,1.8410130061702898e-05,8.920000000001149e-05,0.00015979999999993222
석수,혜화,30,30,0.00017712333333332517,3.4889852233689534e-05,0.0001522999999999941,0.0002929999999999877
을지로4가,백운,30,30,9.571999999999914e-05,1.4856522697677572e-05,8.259999999993273e-05,0.00014279999999999848
회기,방배,30,30,0.00012526666666664576,2.0634717239538333e-05,0.00010889999999996736,0.00018019999999996372
신답,온양온천,30,30,0.00018494999999999113,2.9266565109928223e-05,0.00016729999999998135,0.00029839999999992095
연신내,인천,30,30,0.0001315366666666651,1.8560181093456022e-05,0.00012030000000007313,0.00019649999999993284
학여울,정발산,30,30,0.00015423333333333122,2.3272391845746402e-05,0.00013769999999990734,0.000222400000000067
대화,상왕십리,30,30,0.00015922666666667862,3.9515203262658905e-05,0.000132800000000044,0.0003356000000001025
부개,군포,30,30,9.832666666664824e-05,7.169748174700815e-06,9.30999999999571e-05,0.00012449999999986083
쌍용,개화산,30,30,0.0002323000000000075,1.0187541410986585e-05,0.00022029999999984007,0.00026090000000000835
부평,보산,30,30,0.00020997333333334646,2.49128338189573e-05,0.0001858999999999611,0.0002745000000001774
간석,금호,30,30,0.00021051333333331387,2.4951335746906343e-05,0.00019440000000003899,0.0002872999999998793
구파발,부평,30,30,0.00015176333333331756,2.4891892700684566e-05,0.0001293999999998352,0.00021359999999992496
금정,고덕,30,30,0.00014555666666666117,2.093076974750763e-05,0.00013430000000003162,0.00021720000000002848
신정네거리,금호,30,30,0.00015216666666664213,5.195660582534493e-05,0.00012079999999992097,0.00036400000000003097
하남풍산,삼각지,30,30,0.0001880899999999963,3.168244887423661e-05,0.00016449999999990084,0.0003061000000001979
성환,진위,30,30,1.9593333333300934e-05,4.1364987879320455e-06,1.709999999999212e-05,3.790000000014615e-05
범계,회기,30,30,0.00017842666666664602,6.09847846233565e-05,0.00014010000000008738,0.0004355000000000331
도봉산,중동,30,30,0.00022398333333332557,3.089149919028398e-05,0.00019440000000003899,0.00029220000000007573
상계,중동,30,30,0.00017519000000001394,2.2191430027558228e-05,0.0001644000000000645,0.00025380000000008174
용답,미사,30,30,5.7996666666674615e-05,1.1992399908095755e-05,4.209999999993386e-05,8.990000000008713e-05
녹양,녹천,30,30,3.312666666666815e-05,4.073158752389775e-06,3.060000000010277e-05,5.199999999994098e-05
이대,애오개,30,30,1.3643333333335228e-05,3.5420035133801247e-06,1.2099999999959365e-05,3.0999999999892225e-05
을지로4가,용산,30,30,3.360333333330967e-05,5.435652879096081e-06,3.140000000012577e-05,6.0999999999866716e-05
종합운동장,구로디지털단지,30,30,8.75999999999951e-05,1.202730227439875e-05,7.690000000004638e-05,0.00011199999999988997
