start,goal,runs_attempted,runs_successful,mean_sec,std_sec,best_sec,worst_sec
대방,건대입구,30,30,6.805333333333256e-05,1.2881504397991852e-05,6.229999999995961e-05,0.00013459999999998473
성수,상록수,30,30,0.00013704000000000678,9.095955145007407e-06,0.0001286999999999816,0.00017070000000007912
봉천,독산,30,30,2.211333333333269e-05,5.20965343269403e-06,1.7700000000009375e-05,3.609999999998337e-05
당산,남태령,30,30,4.013666666666804e-05,3.982418304942787e-06,3.7300000000017874e-05,5.779999999999674e-05
을지로4가,고덕,30,30,7.770333333332695e-05,1.7786595764474655e-05,6.82999999999101e-05,0.00014369999999996885
경찰병원,녹번,30,30,7.931333333333438e-05,5.2916748031410385e-06,7.440000000003e-05,9.919999999996598e-05
병점,사당,30,30,9.870666666665917e-05,1.766935073949393e-05,8.990000000008713e-05,0.0001806999999999226
평촌,경마공원,30,30,9.266666666670382e-06,2.3206799769848396e-06,7.80000000000225e-06,1.9199999999996997e-05
발산,월계,30,30,9.542666666667217e-05,6.342288405800225e-06,9.110000000001062e-05,0.00012130000000010188
보산,잠원,30,30,0.00014103666666666811,1.9145538789898585e-05,0.00013090000000004487,0.00023729999999999585
성환,간석,30,30,8.904666666665524e-05,6.429968031712648e-06,8.299999999994423e-05,0.00011340000000004125
두정,을지로4가,30,30,0.0002047633333333354,2.6860770444801195e-05,0.00019060000000004074,0.0003438999999999526
아산,성환,30,30,8.133333333334066e-06,2.3003381394044237e-06,6.900000000031881e-06,1.8100000000020877e-05
동인천,별내별가람역,30,30,0.0001156133333333457,7.786386981278917e-06,0.00010899999999991472,0.00014530000000001486
쌍문,당산,30,30,8.477999999999172e-05,4.966603400044497e-05,7.049999999997336e-05,0.00035079999999998446
녹번,영등포시장,30,30,5.949333333333066e-05,1.6130549346569556e-05,4.939999999997724e-05,0.0001042999999999461
녹천,양재,30,30,7.081000000000262e-05,1.3573512195941287e-05,6.36000000000525e-05,0.00012990000000001611
아현,석수,30,30,5.837666666667814e-05,1.2473643769508885e-05,5.16000000000405e-05,0.0001086999999999616
광나루,제물포,30,30,0.00014287333333333393,2.7844424137614017e-05,0.00012219999999996123,0.00021929999999992233
화서,덕정,30,30,0.00015218333333332594,2.7438149637978007e-05,0.00013779999999996573,0.000267200000000023
영등포구청,까치산,30,30,2.263333333333654e-05,4.167359942321047e-06,2.010000000007839e-05,4.120000000007451e-05
수리산,양천구청,30,30,5.7499999999995516e-05,5.918783658839656e-06,5.189999999999362e-05,7.730000000005788e-05
미아,금천구청,30,30,0.00011107333333332988,8.056009489121149e-06,0.00010489999999996336,0.00013719999999994847
광명,부천,30,30,1.7026666666678885e-05,2.7688665952448877e-06,1.529999999994036e-05,2.920000000006251e-05
송정,까치산,30,30,9.543333333339455e-06,2.265198053630463e-06,8.599999999914232e-06,2.0599999999926233e-05
사당,당고개,30,30,9.239666666666831e-05,6.488013734742646e-06,8.569999999996636e-05,0.00011759999999993997
영등포시장,성환,30,30,0.0002673533333333274,6.284744350848955e-05,0.00016500000000008175,0.00045439999999996594
정부과천청사,양평,30,30,0.0001002699999999949,4.569790038939852e-05,5.300000000008076e-05,0.0002365999999999202
뚝섬,역곡,30,30,0.00011317333333333475,2.202702784206368e-05,9.999999999998899e-05,0.00022329999999992634
애오개,백석,30,30,8.797999999999491e-05,7.481817960905672e-06,8.049999999992785e-05,0.00011110000000003062
선릉,금호,30,30,3.081999999999067e-05,6.843848819678333e-06,2.5500000000011624e-05,4.8599999999954235e-05
마천,화곡,30,30,9.985333333333661e-05,1.0272057026492656e-05,9.150000000002212e-05,0.00014780000000003124
상록수,뚝섬,30,30,0.00015899666666665535,4.1352585435773915e-05,0.00013459999999998473,0.00030090000000004835
종각,영등포시장,30,30,6.7136666666671e-05,1.8096491065640223e-05,5.3999999999998494e-05,0.00011490000000002887
성균관대,보산,30,30,0.00014232333333332367,1.4406195040860157e-05,0.00013090000000004487,0.0001839000000000146
신용산,구의,30,30,3.8529999999999585e-05,4.06391847031428e-06,3.5699999999971865e-05,5.339999999998124e-05
부평,고덕,30,30,0.00011789999999999301,8.453165087694295e-06,0.00011030000000000761,0.00015179999999992422
신대방,올림픽공원,30,30,7.75033333333323e-05,1.2260192585035485e-05,7.099999999993223e-05,0.00013859999999998873
선바위,굽은다리,30,30,7.573999999998341e-05,2.112736929513816e-05,6.049999999990785e-05,0.00013299999999993872
백운,신대방,30,30,4.588666666667611e-05,4.442726890351735e-06,4.1800000000091764e-05,6.450000000002287e-05
백운,초지,30,30,4.784666666666585e-05,3.874681348893023e-06,4.539999999997324e-05,6.419999999995873e-05
옥수,제기동,30,30,2.0593333333348192e-05,3.3714421576318954e-06,1.8799999999985495e-05,3.629999999998912e-05
동대문역사문화공원,석수,30,30,9.480666666666175e-05,7.026850092486719e-06,8.900000000000574e-05,0.00012230000000001962
독산,상왕십리,30,30,9.599333333332923e-05,6.470854314191804e-06,8.929999999995886e-05,0.00012059999999991522
화정,석계,30,30,6.503333333332343e-05,7.645405301361963e-06,5.9299999999984365e-05,9.519999999996198e-05
의정부,온양온천,30,30,0.0001998866666666673,1.1912842743132048e-05,0.00018609999999996685,0.00023530000000004936
양천구청,보산,30,30,0.00015702999999999133,1.0747872657725658e-05,0.00014530000000001486,0.00018850000000003586
독립문,풍양역,30,30,8.136666666666756e-05,1.6501582415702234e-05,7.089999999998486e-05,0.0001556000000000335
천호,노원,30,30,5.469333333333696e-05,4.572667590043101e-06,5.0400000000005996e-05,7.2000000000072e-05
광화문,대림,30,30,6.562333333332374e-05,5.450301724568566e-06,6.06999999999136e-05,8.489999999994335e-05
동암,두정,30,30,0.00012672666666666184,5.2181222250496395e-05,0.00010670000000001512,0.00040410000000001833
을지로4가,군포,30,30,0.0001256133333333446,8.376305205099745e-06,0.00011850000000002137,0.00015660000000006224
오류동,오금,30,30,9.956333333333012e-05,2.4831921436376957e-05,8.350000000001412e-05,0.000164000000000053
종합운동장,혜화,30,30,6.611000000000071e-05,1.8110408609412633e-05,5.320000000008651e-05,0.00011059999999996073
서대문,강동,30,30,6.183999999999449e-05,5.209964811134454e-06,5.8000000000002494e-05,8.079999999999199e-05
대야미,화서,30,30,2.3019999999999522e-05,6.663552606032476e-06,1.4899999999928859e-05,4.7200000000025e-05
선릉,아산,30,30,0.0001918199999999981,9.332823795621482e-06,0.00017889999999998185,0.00022010000000005636
대방,수리산,30,30,7.413666666667244e-05,6.050205689796315e-06,6.839999999996849e-05,9.639999999999649e-05
