station,latitude,longitude
가산디지털단지,37.480819,126.8816358
간석,,
강남,37.4975406,127.0268829
거여,37.4941319,127.1424537
경마공원,,
경복궁,37.5758187,126.9718282
경찰병원,37.4976595,127.121006
고잔,,
과천,,
관악,,
광나루,37.5455696,127.1029226
광명,,
광화문,37.5701914,126.9767335
교대,37.494178,127.015909
구로디지털단지,37.4830526,126.9016142
구의,37.5380809,127.088928
군자,37.5572,127.0794936
굽은다리,37.5454063,127.1426773
길동,37.538065,127.1401869
낙성대,37.4777147,126.9623789
남부터미터널,,
남영,37.5419268,126.9715747
남태령,37.4655844,126.9881213
노원,37.6563651,127.0634799
녹번,37.6021354,126.9351951
녹천,37.6458206,127.0504227
당산,37.5348436,126.9026347
당정,,
대곡,,
대공원,,
대림,37.4935155,126.8945544
대방,37.5136097,126.9260676
대야미,,
대화,,
덕계,,
덕정,,
도봉,37.6792191,127.0455416
도원,,
독립문,37.5737136,126.9589584
독산,37.4660335,126.8895072
동대문역사문화공원,37.5669797,127.0097688
동두천,,
동두천중앙,,
동인천,,
동작,37.5032514,126.9759981
두정,,
둔촌동,37.5280719,127.1366797
뚝섬,37.5471868,127.0473642
마두,,
마포,37.54072,126.94707
망월사,,
매봉,37.4860153,127.0449216
명일,37.55213,127.14392
무악재,37.5835162,126.9496998
미사,,
미아,37.6262408,127.0261837
미아사거리,37.613879,127.0300602
반월,,
방배,37.4819419,126.9974908
방이,37.5088199,127.1264659
방학,37.66951,127.04333
배방,,
백석,,
범계,,
별내별가람역,,
보산,,
봉명,,
봉천,37.4833516,126.9417168
산본,,
삼각지,37.535214,126.9736646
삼성,37.5088402,127.063143
삼송,,
상계,37.661308,127.0743159
상록수,,
상왕십리,37.5643438,127.0291178
서대문,37.5662469,126.9662766
서동탄,,
서울대입구,37.4801556,126.9525721
석수,37.4348023,126.9028844
선릉,37.505447,127.051217
성균관대,,
성북,,
성수,37.54539,127.05362
세마,,
소사,,
소요산,,
송내,,
송정,37.5612776,126.8118491
수리산,,
수원,,
수유,37.6370551,127.024797
숙대입구,37.5431477,126.9725121
시청,37.5633295,126.9747869
신길,37.5175712,126.9165959
신길온천,,
신대방,37.4864422,126.9135834
신림,37.4851736,126.9295914
신사,37.5916491,126.9137922
신용산,37.5299166,126.9674544
신이문,37.6023735,127.0675586
신정,37.5247923,126.8537756
신정네거리,37.52126,126.85341
신창,,
쌍문,37.6476459,127.0339742
쌍용,,
아산,,
아차산,37.5511132,127.0905123
안국,37.5762405,126.9861603
안산,,
안양,,
압구정,37.5271225,127.028717
애오개,37.5531031,126.9566765
약수,37.5547911,127.0106133
양천구청,37.51223,126.86436
여의나루,37.5268526,126.9325288
여의도,37.5216685,126.9243018
역곡,,
연신내,37.6181449,126.9222105
영등포,37.5153957,126.9072076
영등포시장,37.522529,126.9052111
오남역,,
오목교,37.5244,126.87691
오산대,,
오이도,,
옥수,37.5407675,127.0191526
온수,37.4922897,126.8243773
온양온천,,
올림픽공원,37.5165221,127.1308904
외대앞,37.5954015,127.063075
용답,37.5624493,127.0514166
용두,37.5739552,127.0371372
용산,37.5299526,126.9648271
원당,,
원흥,,
월계,37.6341068,127.0589231
을지로입구,37.5664096,126.9840244
이수,37.4823548,126.981979
이촌,37.5226689,126.9739086
인덕원,,
일원,37.484274,127.0837121
잠실,37.5124397,127.0964435
잠실나루,37.5206873,127.1038121
잠원,37.5129294,127.0117464
장한평,37.56113,127.06605
정발산,,
정부과천청사,,
정왕,,
제기동,37.5783784,127.0344672
종각,37.5701745,126.9831831
종합운동장,37.5116833,127.0745918
주안,,
주엽,,
중동,,
중앙,,
지제,,
지축,,
직산,,
진위,,
진접광릉숲,,
천호,37.5379268,127.1256225
청량리,37.5805961,127.0482573
초지,,
충무로,37.5610823,126.9953589
충정로,37.5600897,126.9626889
평촌,,
평택,,
풍양역,,
하남검단산,,
하남시청,,
하남풍산,,
한대앞,,
합정,37.5510384,126.9157425
행당,37.55705,127.02872
혜화,37.5817992,127.0019755
홍대입구,37.5567568,126.9237678
화곡,37.5416488,126.8404293
화정,,
회현,37.5593979,126.9792715
