start,goal,runs_attempted,runs_successful,mean_sec,std_sec,best_sec,worst_sec
대방,건대입구,30,30,0.0002344833333333333,3.347824251991956e-05,0.00021959999999998647,0.0004099000000000186
성수,상록수,30,0,0.0,0.0,0.0,0.0
봉천,독산,30,30,0.00024319333333333581,3.965179216910067e-05,0.00021450000000000635,0.00037759999999997795
당산,남태령,30,30,0.00022942666666666187,1.4233714280612013e-05,0.00021699999999996722,0.0002889999999999837
을지로4가,고덕,30,0,0.0,0.0,0.0,0.0
경찰병원,녹번,30,30,0.00024908666666667025,7.98041215866833e-05,0.0002178999999999931,0.0006738000000000022
병점,사당,30,30,0.00023238999999999899,1.1551460225159096e-05,0.00021700000000002273,0.0002627000000000046
평촌,경마공원,30,0,0.0,0.0,0.0,0.0
발산,월계,30,30,0.00023126999999999824,1.496921618968476e-05,0.00021729999999997585,0.00028530000000004385
보산,잠원,30,0,0.0,0.0,0.0,0.0
성환,간석,30,30,0.0002306300000000002,1.0750229454922133e-05,0.00021779999999999022,0.00026380000000003623
두정,을지로4가,30,30,0.00023635333333333526,1.7205575323775303e-05,0.00021900000000002473,0.00028889999999998084
아산,성환,30,30,0.00022715999999999663,2.2179233530490995e-05,0.00021359999999998047,0.0003399000000000041
동인천,별내별가람역,30,0,0.0,0.0,0.0,0.0
쌍문,당산,30,0,0.0,0.0,0.0,0.0
녹번,영등포시장,30,30,0.00023266000000001045,1.1203380442228369e-05,0.0002167000000000141,0.00026439999999999797
녹천,양재,30,0,0.0,0.0,0.0,0.0
아현,석수,30,30,0.000229090000000004,2.3314421145148026e-05,0.00021569999999998535,0.00034600000000001296
광나루,제물포,30,0,0.0,0.0,0.0,0.0
화서,덕정,30,30,0.00023670333333332869,1.3034172607244826e-05,0.0002175000000000371,0.00027089999999996284
영등포구청,까치산,30,0,0.0,0.0,0.0,0.0
수리산,양천구청,30,0,0.0,0.0,0.0,0.0
미아,금천구청,30,0,0.0,0.0,0.0,0.0
광명,부천,30,30,0.00022755333333333573,1.0890109682137874e-05,0.00021450000000000635,0.00026200000000004
송정,까치산,30,0,0.0,0.0,0.0,0.0
사당,당고개,30,30,0.0002271866666666622,1.3634410715376102e-05,0.0002147000000000121,0.0002657999999999827
영등포시장,성환,30,30,0.00023451666666666205,3.8369876060382086e-05,0.00021490000000001785,0.00038840000000001096
정부과천청사,양평,30,0,0.0,0.0,0.0,0.0
뚝섬,역곡,30,30,0.00023125999999999795,1.4432223205961208e-05,0.00021500000000002073,0.0002802000000000082
애오개,백석,30,0,0.0,0.0,0.0,0.0
선릉,금호,30,30,0.0002298266666666678,3.215160891083376e-05,0.00021360000000003598,0.00039119999999998045
마천,화곡,30,30,0.0002533233333333366,8.872634589318001e-05,0.00021500000000002073,0.0005983999999999989
상록수,뚝섬,30,0,0.0,0.0,0.0,0.0
종각,영등포시장,30,30,0.00022482999999999808,1.0445546100295471e-05,0.00021490000000001785,0.00026009999999998534
성균관대,보산,30,0,0.0,0.0,0.0,0.0
신용산,구의,30,0,0.0,0.0,0.0,0.0
부평,고덕,30,30,0.0002238199999999931,1.830781982287965e-05,0.00020969999999997935,0.000298400000000032
신대방,올림픽공원,30,0,0.0,0.0,0.0,0.0
선바위,굽은다리,30,0,0.0,0.0,0.0,0.0
백운,신대방,30,30,0.00022863333333333902,3.1856410483420225e-05,0.00020770000000003286,0.00036369999999996683
백운,초지,30,0,0.0,0.0,0.0,0.0
옥수,제기동,30,30,0.00022051666666666285,1.3234250597932344e-05,0.00020839999999999748,0.0002657999999999827
동대문역사문화공원,석수,30,0,0.0,0.0,0.0,0.0
독산,상왕십리,30,30,0.00022310333333332247,1.0735128731820581e-05,0.0002102999999999966,0.0002566999999999986
화정,석계,30,0,0.0,0.0,0.0,0.0
의정부,온양온천,30,30,0.00022329666666666138,1.1025409541401123e-05,0.00021169999999992584,0.0002586999999999451
양천구청,보산,30,0,0.0,0.0,0.0,0.0
독립문,풍양역,30,0,0.0,0.0,0.0,0.0
천호,노원,30,0,0.0,0.0,0.0,0.0
광화문,대림,30,0,0.0,0.0,0.0,0.0
동암,두정,30,30,0.00024653333333330975,5.981619810348093e-05,0.00021199999999998997,0.00051229999999991
을지로4가,군포,30,30,0.00022353666666666088,1.1084508208406584e-05,0.0002107000000000081,0.00025690000000000435
오류동,오금,30,0,0.0,0.0,0.0,0.0
종합운동장,혜화,30,30,0.0002193400000000086,1.2335952874971235e-05,0.0002083000000000501,0.0002583000000000446
서대문,강동,30,30,0.00021897000000000352,1.0124990534978437e-05,0.00020889999999995634,0.00025129999999995434
대야미,화서,30,0,0.0,0.0,0.0,0.0
선릉,아산,30,30,0.0002206533333333353,1.1391363200048085e-05,0.00020900000000001473,0.00025799999999998047
대방,수리산,30,0,0.0,0.0,0.0,0.0
이촌,동작,30,0,0.0,0.0,0.0,0.0
정부과천청사,가락시장,30,0,0.0,0.0,0.0,0.0
석계,충무로,30,30,0.00022744333333333996,5.000879044950984e-05,0.00020490000000006336,0.0004886000000000612
명동,평택,30,30,0.00021411999999998804,1.1906088078528555e-05,0.00020049999999993684,0.00025010000000003085
대곡,수원,30,0,0.0,0.0,0.0,0.0
평택,발산,30,30,0.0002128399999999882,2.8568147764004396e-05,0.00019360000000001598,0.0003464999999999163
동암,연신내,30,30,0.0002302166666666457,3.289497513130407e-05,0.00019119999999994697,0.0002902000000000182
둔촌동,회기,30,0,0.0,0.0,0.0,0.0
홍대입구,가능,30,0,0.0,0.0,0.0,0.0
신설동,창동,30,30,0.00020820333333332702,2.5726633195100177e-05,0.00018970000000007037,0.00029079999999992445
개봉,대방,30,30,0.00020235666666666615,9.276266610125538e-06,0.00019279999999999298,0.00023689999999998435
양천구청,신길,30,30,0.00020014999999999524,8.358857577457054e-06,0.00019079999999993547,0.0002303000000000166
삼성,구일,30,0,0.0,0.0,0.0,0.0
삼송,까치산,30,0,0.0,0.0,0.0,0.0
남영,진위,30,30,0.00023740666666667668,3.92077027579718e-05,0.00019369999999996335,0.0003410000000000357
금천구청,홍제,30,30,0.00021235999999999293,3.6936338024571285e-05,0.0001898999999999651,0.00034669999999992207
도곡,도림천,30,0,0.0,0.0,0.0,0.0
중앙,마곡,30,0,0.0,0.0,0.0,0.0
석수,혜화,30,30,0.00020428999999999586,2.4730768285666154e-05,0.00019049999999998235,0.0002966999999999276
을지로4가,백운,30,0,0.0,0.0,0.0,0.0
회기,방배,30,30,0.00022623333333332923,3.412077894121763e-05,0.00019220000000008675,0.0003022999999999776
신답,온양온천,30,30,0.00023166999999999863,3.249775530709375e-05,0.00019369999999996335,0.00028820000000007173
연신내,인천,30,30,0.00022026333333331852,3.7999074403939566e-05,0.0001922999999999231,0.00034850000000008485
학여울,정발산,30,0,0.0,0.0,0.0,0.0
대화,상왕십리,30,0,0.0,0.0,0.0,0.0
부개,군포,30,30,0.00021640333333334077,2.6878287189146822e-05,0.00019340000000001023,0.00029489999999998684
쌍용,개화산,30,0,0.0,0.0,0.0,0.0
부평,보산,30,0,0.0,0.0,0.0,0.0
간석,금호,30,30,0.00025086666666666776,5.4398972621009e-05,0.0001967000000000496,0.0004728999999999983
구파발,부평,30,30,0.00023400333333333244,4.724615316498132e-05,0.00019420000000003323,0.0003587000000000451
금정,고덕,30,30,0.00021896333333334405,3.6204691071120164e-05,0.00019089999999999385,0.00034170000000000034
신정네거리,금호,30,30,0.00020459333333334347,9.375604276812462e-06,0.00019500000000005624,0.00023600000000001398
하남풍산,삼각지,30,0,0.0,0.0,0.0,0.0
성환,진위,30,30,0.00021484666666665708,3.607864311317892e-05,0.00018779999999996022,0.0003634999999999611
범계,회기,30,0,0.0,0.0,0.0,0.0
도봉산,중동,30,30,0.00020463000000001303,8.635282276802772e-06,0.0001930999999999461,0.0002334999999999976
상계,중동,30,30,0.00022742333333333197,3.4540794078232685e-05,0.0001927000000000456,0.00034309999999992957
용답,미사,30,0,0.0,0.0,0.0,0.0
녹양,녹천,30,30,0.00019900666666666417,8.929499177205215e-06,0.00018819999999997172,0.00022800000000000598
이대,애오개,30,30,0.000221803333333348,4.2468329245317276e-05,0.00019130000000000535,0.0003518999999999606
을지로4가,용산,30,30,0.00022257333333332389,3.8582741680132564e-05,0.00019409999999997485,0.0003471000000000446
종합운동장,구로디지털단지,30,0,0.0,0.0,0.0,0.0
