start,goal,runs_attempted,runs_successful,mean_sec,std_sec,best_sec,worst_sec
대방,건대입구,30,30,0.00030947666666666186,4.4368184421816766e-05,0.00029240000000002597,0.0005450999999999651
성수,상록수,30,0,0.0,0.0,0.0,0.0
봉천,독산,30,30,0.0002478199999999986,1.9952567086305687e-05,0.00023529999999999385,0.0003231000000000206
당산,남태령,30,30,0.0002871999999999986,1.5445948767663404e-05,0.00027450000000001085,0.00035720000000000196
을지로4가,고덕,30,30,0.00028385999999999874,4.459159562069419e-05,0.000265200000000021,0.0005023999999999584
경찰병원,녹번,30,30,0.0003614900000000069,4.24139234214401e-05,0.00034599999999995745,0.0005864999999999898
병점,사당,30,30,0.00026079999999999805,1.4325548273393826e-05,0.00025089999999999835,0.0003318999999999961
평촌,경마공원,30,0,0.0,0.0,0.0,0.0
발산,월계,30,30,0.0004102899999999965,1.407168196532552e-05,0.00039919999999998845,0.00047669999999999657
보산,잠원,30,0,0.0,0.0,0.0,0.0
성환,간석,30,30,0.00034444000000000325,1.693280051654433e-05,0.00032890000000002084,0.00040170000000000483
두정,을지로4가,30,30,0.0005248100000000052,8.752473688429452e-05,0.00047880000000000145,0.0008968999999999783
아산,성환,30,30,0.00022194333333333354,1.1563698466402326e-05,0.00021280000000001298,0.00026439999999994246
동인천,별내별가람역,30,0,0.0,0.0,0.0,0.0
쌍문,당산,30,30,0.00032935666666665807,3.197783277347785e-05,0.00030600000000002847,0.0004205999999999932
녹번,영등포시장,30,30,0.000293113333333328,1.877519166938893e-05,0.00027730000000003585,0.0003537999999999597
녹천,양재,30,0,0.0,0.0,0.0,0.0
아현,석수,30,30,0.00026606666666666076,1.2469304533745998e-05,0.0002569999999999517,0.0003206999999999516
광나루,제물포,30,0,0.0,0.0,0.0,0.0
화서,덕정,30,30,0.000581480000000012,3.62776184444345e-05,0.0005511000000000266,0.0007206000000000712
영등포구청,까치산,30,30,0.00022692666666667509,2.2501021211395633e-05,0.00021710000000008112,0.00034330000000004635
수리산,양천구청,30,0,0.0,0.0,0.0,0.0
미아,금천구청,30,0,0.0,0.0,0.0,0.0
광명,부천,30,30,0.0002388766666666579,1.0725100880128344e-05,0.00022960000000005198,0.0002906000000000297
송정,까치산,30,30,0.00022505666666666757,3.597800886962427e-05,0.0002123000000000541,0.00041250000000003784
사당,당고개,30,30,0.00034523333333333903,5.4301407798406616e-05,0.00031479999999994845,0.0005541999999999492
영등포시장,성환,30,30,0.00034997333333333105,2.5062441133210356e-05,0.00033079999999996446,0.00046400000000001995
정부과천청사,양평,30,0,0.0,0.0,0.0,0.0
뚝섬,역곡,30,30,0.0003484433333333333,1.509657098667669e-05,0.0003352999999999273,0.0004115000000000091
애오개,백석,30,0,0.0,0.0,0.0,0.0
선릉,금호,30,30,0.00024715666666666654,1.5670794137147214e-05,0.00023539999999999672,0.00032290000000001484
마천,화곡,30,30,0.0005070266666666693,0.00011150236449909133,0.00043970000000004283,0.0009133999999999531
상록수,뚝섬,30,0,0.0,0.0,0.0,0.0
종각,영등포시장,30,30,0.0002544499999999987,1.5825480508777375e-05,0.00023899999999998922,0.00029849999999997934
성균관대,보산,30,0,0.0,0.0,0.0,0.0
신용산,구의,30,0,0.0,0.0,0.0,0.0
부평,고덕,30,30,0.0003733466666666555,1.5794149409060405e-05,0.0003581999999999752,0.0004367000000000676
신대방,올림픽공원,30,0,0.0,0.0,0.0,0.0
선바위,굽은다리,30,0,0.0,0.0,0.0,0.0
백운,신대방,30,30,0.0002754933333333246,4.9989998555262185e-05,0.00024759999999990345,0.0004678000000000182
백운,초지,30,0,0.0,0.0,0.0,0.0
옥수,제기동,30,30,0.0002682199999999857,3.78446420690362e-05,0.00024959999999996096,0.0004518000000000022
동대문역사문화공원,석수,30,30,0.0003403366666666704,4.15173576819331e-05,0.00031849999999999934,0.0005359000000000336
독산,상왕십리,30,30,0.00034066333333332053,7.635738551196719e-05,0.000302400000000036,0.0005707000000000351
화정,석계,30,0,0.0,0.0,0.0,0.0
의정부,온양온천,30,30,0.0008462766666666603,0.0008760988185067233,0.0005185999999999247,0.005440099999999948
양천구청,보산,30,0,0.0,0.0,0.0,0.0
독립문,풍양역,30,0,0.0,0.0,0.0,0.0
천호,노원,30,0,0.0,0.0,0.0,0.0
광화문,대림,30,0,0.0,0.0,0.0,0.0
동암,두정,30,30,0.0003031900000000013,1.2250859833778336e-05,0.0002923000000000231,0.000353600000000065
을지로4가,군포,30,30,0.00038529666666667903,5.198543695646762e-05,0.0003439000000000636,0.0005168999999999313
오류동,오금,30,30,0.0003078300000000126,3.6520333605622235e-05,0.00028570000000005535,0.0004349999999999632
종합운동장,혜화,30,30,0.00027505333333332306,4.769336594911098e-05,0.00024849999999998484,0.0004688999999999943
서대문,강동,30,30,0.0002693366666666678,4.850960374559571e-05,0.00023810000000001885,0.0004477999999999982
대야미,화서,30,0,0.0,0.0,0.0,0.0
선릉,아산,30,30,0.00029803333333333257,3.0235567723382158e-05,0.00027999999999994696,0.00042799999999998395
대방,수리산,30,0,0.0,0.0,0.0,0.0
이촌,동작,30,0,0.0,0.0,0.0,0.0
정부과천청사,가락시장,30,0,0.0,0.0,0.0,0.0
석계,충무로,30,30,0.0002669899999999966,1.0834123560933803e-05,0.0002579000000000331,0.0003167000000000586
명동,평택,30,30,0.00030342333333333027,9.38269566217026e-05,0.0002613999999999672,0.0007538000000000267
대곡,수원,30,0,0.0,0.0,0.0,0.0
평택,발산,30,30,0.0003565600000000021,5.042915558815052e-05,0.00031369999999997233,0.0004806000000000532
동암,연신내,30,30,0.0003611633333333438,3.7078317863072485e-05,0.00033519999999997996,0.000513099999999933
둔촌동,회기,30,30,0.00030961999999999196,4.410935955101204e-05,0.0002866999999999731,0.0005049000000000303
홍대입구,가능,30,30,0.000364700000000003,8.507603657906173e-05,0.0002998999999999086,0.0005834000000000117
신설동,창동,30,30,0.00024410000000000265,3.9275140568380536e-05,0.00022440000000001348,0.0004184999999999883
개봉,대방,30,30,0.00020282333333333883,9.185556899590788e-06,0.00019700000000000273,0.00024639999999997997
양천구청,신길,30,30,0.00022689000000000552,2.9979763730456856e-05,0.00020740000000007974,0.0003254000000000312
삼성,구일,30,0,0.0,0.0,0.0,0.0
삼송,까치산,30,0,0.0,0.0,0.0,0.0
남영,진위,30,30,0.0002899900000000103,4.5589672441618826e-05,0.000259200000000015,0.00040729999999999933
금천구청,홍제,30,30,0.0003342200000000036,7.203704324859588e-05,0.00028969999999994833,0.0005745999999999807
도곡,도림천,30,30,0.00027950333333332336,9.41397241102557e-05,0.0002483000000000901,0.0006414999999999615
중앙,마곡,30,0,0.0,0.0,0.0,0.0
석수,혜화,30,30,0.00035181333333333584,5.77531571046577e-05,0.00030560000000001697,0.0005207999999999879
을지로4가,백운,30,30,0.0003165866666666702,3.084988096502193e-05,0.00029800000000002047,0.00044850000000007384
회기,방배,30,30,0.00031666000000000935,4.328007701781658e-05,0.0002881999999999607,0.0004433999999999827
신답,온양온천,30,30,0.00045944000000000356,6.887698502885846e-05,0.00040400000000007097,0.0006825000000000303
연신내,인천,30,30,0.00038172999999999864,4.172105104140544e-05,0.00035239999999991944,0.0005180000000000184
학여울,정발산,30,0,0.0,0.0,0.0,0.0
대화,상왕십리,30,0,0.0,0.0,0.0,0.0
부개,군포,30,30,0.00029318666666667826,5.863532913035493e-05,0.0002618999999999261,0.0005166000000000892
쌍용,개화산,30,0,0.0,0.0,0.0,0.0
부평,보산,30,0,0.0,0.0,0.0,0.0
간석,금호,30,30,0.00032121666666668305,3.52308490136451e-05,0.0003004000000002005,0.0004574999999999996
구파발,부평,30,30,0.0003517533333333267,3.50850560147079e-05,0.0003347000000000211,0.0005041999999999547
금정,고덕,30,30,0.0003338933333333275,5.224035434622112e-05,0.00030250000000009436,0.0005331999999997894
신정네거리,금호,30,30,0.00035544333333335695,6.536855351688279e-05,0.0003135000000000776,0.0005295000000000716
하남풍산,삼각지,30,30,0.0002804766666666625,3.796245235609376e-05,0.0002591000000000676,0.0004128999999999383
성환,진위,30,30,0.00020483666666667826,2.8011860384886695e-05,0.00018779999999996022,0.000296000000000074
범계,회기,30,0,0.0,0.0,0.0,0.0
도봉산,중동,30,30,0.0003996266666666637,6.086871080903496e-05,0.0003643000000002061,0.0006156999999999968
상계,중동,30,30,0.00037318666666668796,4.3728364046943055e-05,0.0003447000000000866,0.0005227000000000981
용답,미사,30,30,0.0002632666666666728,3.991988922272493e-05,0.00024010000000007636,0.0004110999999999976
녹양,녹천,30,30,0.00025500999999999627,7.715942521818882e-05,0.00021349999999986657,0.0005466000000000637
이대,애오개,30,30,0.00021090999999999008,3.078402561937544e-05,0.00019119999999994697,0.0003115000000000201
을지로4가,용산,30,30,0.00024308666666666607,3.4817808980797826e-05,0.00022440000000001348,0.0003737999999999797
종합운동장,구로디지털단지,30,30,0.00023534333333334137,3.755858253744135e-05,0.00021809999999988783,0.00040109999999993207
