station,latitude,longitude
가능,,
가락시장,37.4925106,127.1185729
가산디지털단지,37.48105,126.88325
간석,,
강남,37.4942635,127.0296699
강변,37.53553,127.09376
개봉,37.4952224,126.8587229
건대입구,37.54088,127.06812
경마공원,,
경복 궁,,
경찰병원,37.4954682,127.1244131
고속터미널,37.5050827,127.0049777
고잔,,
과천,,
관악,,
광나루,37.5455696,127.1029226
광명,,
광화문,37.5701914,126.9767335
교대,37.494178,127.015909
구로,37.5044892,126.8820115
 구로디지털단지,37.4853417,126.9068128
구의,37.5380809,127.088928
구일,37.4963802,126.8708946
구파발,37.6368397,126.9187448
군자,37.5572,127.0794936
군포,,
굽은다리,37.5454063,127.1426773
금정,,
금천구청,37.4570351,126.8943253
금호,37.5485535,127.015397
 길음,37.6021009,127.0242066
낙성대,37.4776793,126.9625049
남부터미터널,,
남영,37.5419268,126.9715747
남태령,37.4654501,126.9879366
노량진,37.513624,126.9433779
노원,37.6563651,127.0634799
녹번,37.6017426,126.9353699
녹양,,
녹천,37.6429291,127.0519486
당고개,37.670098,127.0789245
당산,37.5348436,126.9026347
당정,,
대곡,,
대공원,,
대림,37.49466,126.89482
대방,37.5136097,126.9260676
대야미,,
대청,37.4932234,127.0796706
대치,37.4948614,127.0640273
대화,,
덕계,,
덕정,,
도곡,37.4908632,127.0553286
도림천,37.5138748,126.8839602
도봉,37.6792191,127.0455416
도봉산,37.6891881,127.0465716
도원,,
도화,,
독립문,37.5737136,126.9589584
독산,37.4660335,126.8895072
동대문,37.5718616,127.0114887
동대입구,37.5590324,127.0054598
동두천,,
동두천중앙,,
동묘앞,37.5735084,127.0174344
동암,,
동인천,,
동작,37.5032514,126.9759981
두정,,
뚝섬,37.5471868,127.0473642
마두,,
망월사,,
매봉,37.4860153,127.0449216
명동,37.5612,126.98802
명학,,
무악재,37.58271,126.94985
문래,37.5191008,126.894292
미아,37.6262408,127.0261837
미아사거리,37.61175,127.03044
반월,,
방배,37.4819419,126.9974908
방학,37.66922,127.04382
배방,,
백석,,
백운,,
범 계,,
별내별가람역,,
병점,,
보산,,
봉명,,
봉천,37.4836652,126.9409914
부개,,
부천,,
부평,,
불광,37.6094602,126.930909
사당,37.478609,126.9819301
산본,,
삼각지,37.5356461,126.9738539
삼성,37.5088402,127.063143
삼송,,
상계,37.65945,127.07306
상록수,,
상왕십리,37.5643438,127.0291178
서동탄,,
서울대입구,37.4801556,126.9525721
서울역,37.5560719,126.9723599
서정리,,
서초,37.4921027,127.0089619
석계,37.6148083,127.0658393
석수,37.4356467,126.903248
선릉,37.5050462,127.0502518
선바위,,
성균관대,,
성북,,
성수,37.5439789,127.056966
성신여대입구,37.59346,127.01636
성환,,
세류,,
세마,,
소사,,
소요산,,
송내,,
송탄,,
수리산,,
수서,37.4866236,127.1023325
수원,,
수유,37.6374687,127.0252453
숙대입구,37.5444252,126.9708398
시청,37.5633295,126.9747869
신길온천,,
신답,37.5711287,127.0492197
신당,37.56535,127.01622
신대방,37.4866248,126.9128976
신도림,37.5105455,126.8900063
신림,37.4851736,126.9295914
신사,37.5916491,126.9137922
신설동,37.5745192,127.0254473
신용산,37.5300338,126.9676784
신이문,37.6023735,127.0675586
신정,37.5247923,126.8537756
신 정네거리,,
신창,,
신촌,37.5597815,126.9423581
쌍문,37.6483586,127.034565
쌍용,,
아산,,
아차산,37.5511132,127.0905123
아현,37.5574209,126.9567414
안국,37.5762405,126.9861603
안산,,
안양,,
압구정,37.5271225,127.028717
약수,37.5547911,127.0106133
양재,37.4838155,127.0346881
양주,,
양천구청,37.51223,126.86436
역곡,,
역삼,37.501657,127.0362961
연신내,37.6181449,126.9222105
영등포,37.5153957,126.9072076
오남역,,
오류동,37.4955833,126.8426501
오목교,37.52407,126.87692
오산,,
오산대,,
오이도,,
옥수,37.5407675,127.0191526
온수,37.4927436,126.824382
온양온천,,
올림픽공원,37.5163484,127.1313146
외대앞,37.5954015,127.063075
용답,37.5625858,127.0504369
용두,37.5739552,127.0371372
 용산,37.5299526,126.9648271
원당,,
원흥,,
월계,37.6341068,127.0589231
을지로3가,37.5651769,126.9926355
을지로입구,37.5664096,126.9840244
의왕,,
의정부,,
이대,37.556864,126.9468134
이수,37.4847328,126.9803769
이촌,37.5223012,126.9739562
인덕원,,
인천,,
일원,37.484274,127.0837121
잠실,37.5124397,127.0964435
잠실나루,37.5206873,127.1038121
잠실새내,37.5083999,127.0795842
잠원,37.5129294,127.0117464
정발산,,
정부과천청사,,
정왕,,
 제기동,37.5783784,127.0344672
제물포,,
종각,37.5701745,126.9831831
종로3가,37.5704405,126.9923242
종로5가,37.5709867,127.0020222
종합운동장,37.5116833,127.0745918
주안,,
주엽,,
중동,,
중앙,,
지제,,
지축,,
지행,,
직산,,
진위,,
진접광릉숲,,
창동,37.6531817,127.0476987
천안,,
천호,37.53595,127.12271
청량리,37.5805961,127.0482573
초지,,
충무로,37.5610823,126.9953589
충정로,37.5600897,126.9626889
평촌,,
평택,,
풍양역,,
하남검단산,,
하남시청,,
학여울,37.4972478,127.0719615
한대앞,,
한성대입구,37.5884599,127.0061144
한양 대,,
합정,37.5486897,126.9142951
혜화,37.5817992,127.0019755
홍대입구,37.5569268,126.9239947
홍제,37.587648,126.9441063
화서,,
화정,,
회기,37.5894974,127.0576239
회룡,,
회현,37.5592389,126.9798359
