start,goal,runs_attempted,runs_successful,mean_sec,std_sec,best_sec,worst_sec
대방,건대입구,30,30,0.0003265500000000051,6.82937417825864e-05,0.00030360000000001497,0.0006892000000000009
성수,상록수,30,30,0.00041115666666667144,6.479679355922363e-05,0.0003697999999999757,0.0006270000000000442
봉천,독산,30,30,0.00023522666666666764,1.0262583603660855e-05,0.00021660000000001123,0.00026599999999998847
당산,남태령,30,30,0.00028706999999999485,4.4021745762751165e-05,0.00026239999999999597,0.0004770000000000052
을지로4가,고덕,30,30,0.000341029999999994,7.112886029359221e-05,0.0003121999999999847,0.0007164999999999533
경찰병원,녹번,30,30,0.00036844666666666266,0.0001257943128903485,0.0002987000000000406,0.0008855999999999864
병점,사당,30,30,0.0002314999999999956,1.5859066807352028e-05,0.0002158999999999911,0.00030520000000000547
평촌,경마공원,30,30,0.00023281333333333338,4.4065751881575934e-05,0.00020259999999999723,0.00033840000000001647
발산,월계,30,30,0.0003616500000000041,1.5300735276447657e-05,0.00034610000000001584,0.00042839999999999545
보산,잠원,30,30,0.0002864466666666621,1.0610552399486464e-05,0.00027119999999997146,0.0003182999999999936
성환,간석,30,30,0.000283166666666664,4.012077876722287e-05,0.00025330000000001185,0.00044919999999998295
두정,을지로4가,30,30,0.0003397700000000022,4.733506205763782e-05,0.00030890000000000084,0.0005188000000000415
아산,성환,30,30,0.00020164999999999582,1.609092394280956e-05,0.00018860000000003874,0.000271200000000027
동인천,별내별가람역,30,30,0.0003809866666666606,1.3508854709252077e-05,0.00036520000000000996,0.0004203000000000401
쌍문,당산,30,30,0.00030285000000000083,1.104921565843647e-05,0.00028759999999999897,0.0003390000000000337
녹번,영등포시장,30,30,0.00029309333333333486,3.349138131254396e-05,0.0002622999999999931,0.0004100999999999688
녹천,양재,30,30,0.00032643333333333137,3.840810099734559e-05,0.0003010999999999986,0.0005159000000000136
아현,석수,30,30,0.0002999233333333314,1.2071279505042395e-05,0.0002833999999999892,0.0003283000000000036
광나루,제물포,30,30,0.00039950333333332866,4.233623730197234e-05,0.0003672999999999593,0.0005692000000000474
화서,덕정,30,30,0.0004115566666666607,3.634482708109528e-05,0.00038839999999995545,0.0006016999999999273
영등포구청,까치산,30,30,0.00023067999999999052,3.600902109193586e-05,0.00021809999999999885,0.0004229999999999512
수리산,양천구청,30,30,0.0002540566666666725,2.9541097737822678e-05,0.00023119999999998697,0.00037609999999999033
미아,금천구청,30,30,0.00035524666666668646,1.7859838247377736e-05,0.00033250000000006885,0.00042970000000008834
광명,부천,30,30,0.0002106033333333294,1.200312413037745e-05,0.00019820000000003724,0.00024089999999998835
송정,까치산,30,30,0.00023568000000000476,6.04286984801079e-05,0.00020470000000005761,0.00045159999999999645
사당,당고개,30,30,0.000418006666666663,0.00010856458579521649,0.0003651000000000071,0.000747500000000012
영등포시장,성환,30,30,0.00035439000000000445,1.633571445228652e-05,0.00032770000000004185,0.00040720000000005196
정부과천청사,양평,30,30,0.0002653900000000061,3.4261225411042665e-05,0.00024010000000007636,0.00036519999999995445
뚝섬,역곡,30,30,0.0003509066666666653,4.822917466523083e-05,0.0003153999999999657,0.00046959999999995894
애오개,백석,30,30,0.000329653333333324,9.296163987844013e-05,0.00028490000000003235,0.0006701999999999542
선릉,금호,30,30,0.00022207333333334282,3.58220782324098e-05,0.00019540000000006774,0.00035170000000006585
마천,화곡,30,30,0.00034395333333333926,5.250706449822759e-05,0.000308000000000086,0.0005199999999999649
상록수,뚝섬,30,30,0.0003236033333333295,3.973937160495226e-05,0.0002946999999999811,0.0004335000000000866
종각,영등포시장,30,30,0.00027593000000000203,3.9221695951777296e-05,0.00024080000000004098,0.0004306000000000587
성균관대,보산,30,30,0.0003927233333333076,5.0940459907181264e-05,0.00034880000000003797,0.0005319999999999769
신용산,구의,30,30,0.00028211666666666524,4.6331897459774005e-05,0.0002505999999999897,0.0004349999999999632
부평,고덕,30,30,0.0003776266666666602,5.559391413535256e-05,0.0003354999999999331,0.0005845999999999352
신대방,올림픽공원,30,30,0.00033415999999998337,5.0733943929743787e-05,0.00029119999999993595,0.0004893999999999732
선바위,굽은다리,30,30,0.00033975666666668326,5.137081326546242e-05,0.00030610000000008686,0.0005317999999999712
백운,신대방,30,30,0.00023504333333335126,4.6291299998549156e-05,0.00018879999999998898,0.0003464999999999163
백운,초지,30,30,0.0002769666666666707,8.35562578280203e-05,0.00023119999999998697,0.0006728000000000289
옥수,제기동,30,30,0.00028963666666665576,9.484899396176974e-05,0.00021289999999996034,0.0005853000000000108
동대문역사문화공원,석수,30,30,0.0003495300000000127,5.3729303922524734e-05,0.000303200000000059,0.0005228999999999928
독산,상왕십리,30,30,0.0002915966666666566,4.147334471951113e-05,0.0002653999999999712,0.0004479000000000566
화정,석계,30,30,0.0003060866666666643,4.704651409921853e-05,0.00024290000000004586,0.00041239999999997945
의정부,온양온천,30,30,0.00039729666666665775,4.401687921191185e-05,0.00036680000000000046,0.0005539999999999434
양천구청,보산,30,30,0.0003484033333333358,3.3179144888841764e-05,0.00032650000000000734,0.00047909999999995456
독립문,풍양역,30,30,0.00033037666666666893,4.204414095791269e-05,0.0003009999999999957,0.0004619000000000151
천호,노원,30,30,0.00029854666666668064,3.552951574239661e-05,0.0002703000000000566,0.0003961999999999577
광화문,대림,30,30,0.00026298999999999626,1.0427219188266662e-05,0.0002505999999999897,0.0002908000000000355
동암,두정,30,30,0.0003160866666666595,2.861143982550862e-05,0.00029119999999993595,0.0003957999999999462
을지로4가,군포,30,30,0.00035155333333332833,3.28785617420013e-05,0.00032889999999996533,0.00048400000000003995
오류동,오금,30,30,0.0003338800000000012,8.338840846710238e-06,0.0003233999999999737,0.0003615000000000146
종합운동장,혜화,30,30,0.00025318666666667155,3.9204878381249504e-05,0.00022289999999991483,0.00038729999999997933
서대문,강동,30,30,0.0003147533333333286,7.763075307005129e-05,0.00026610000000004685,0.0005730999999999931
대야미,화서,30,30,0.00019953666666666647,3.6809414405682986e-05,0.00017500000000003624,0.00031610000000004135
선릉,아산,30,30,0.0004619633333333373,0.00024197500350703024,0.0003457999999999517,0.0013556000000000124
대방,수리산,30,30,0.00029434999999998767,3.7078922584145933e-05,0.00025529999999995834,0.0003740000000000965
이촌,동작,30,30,0.00021783999999999508,8.270402489199047e-05,0.000164800000000076,0.0004186999999999941
정부과천청사,가락시장,30,30,0.00028672333333333854,4.1713696258620425e-05,0.00026009999999998534,0.0004595000000000571
석계,충무로,30,30,0.00024704666666667635,9.849116621414629e-05,0.00019720000000000848,0.0005137000000000613
