start,goal,runs_attempted,runs_successful,mean_sec,std_sec,best_sec,worst_sec
대방,건대입구,30,30,0.00024359000000000094,8.019051211541986e-05,0.00020569999999997535,0.000665899999999997
성수,상록수,30,30,0.0004046933333333317,2.0102453139403213e-05,0.0003817999999999877,0.0004657999999999607
봉천,독산,30,30,0.00015965333333332424,1.57035395868399e-05,0.0001452000000000675,0.00021050000000000235
당산,남태령,30,30,0.0001938033333333274,4.602146950669475e-05,0.0001636000000000415,0.0003438999999999526
을지로4가,고덕,30,30,0.0002510500000000156,7.665579669315966e-05,0.00019009999999997085,0.00048519999999996344
경찰병원,녹번,30,30,0.00027702666666666137,2.24328618078416e-05,0.0002565999999999402,0.0003574000000000632
병점,사당,30,30,0.00018023666666667771,1.2508569951120646e-05,0.00017030000000006762,0.00022489999999997234
평촌,경마공원,30,30,0.00013976333333334256,1.2353177279104669e-05,0.00012790000000006962,0.00017759999999999998
발산,월계,30,30,0.0003655133333333338,5.903484131332153e-05,0.0003359000000000556,0.000654700000000008
보산,잠원,30,30,0.00026800666666667585,5.028808297088856e-05,0.00023139999999999272,0.00045669999999997657
성환,간석,30,30,0.00023780666666666598,1.9184662855741593e-05,0.00022129999999997985,0.0003209999999999047
두정,을지로4가,30,30,0.0003936133333333462,5.2318427176504256e-05,0.00036320000000000796,0.0006095000000000406
아산,성환,30,30,0.00014165333333334695,1.3990490421060314e-05,0.00012889999999998736,0.0001894999999999536
동인천,별내별가람역,30,30,0.0003934299999999983,1.9520453375886078e-05,0.0003688999999998943,0.0004516999999999438
쌍문,당산,30,30,0.00025371666666665533,4.1286988130524816e-05,0.00021969999999993384,0.00041530000000000733
녹번,영등포시장,30,30,0.00019569000000000392,2.5557351845082996e-05,0.00017279999999997298,0.0002929999999999877
녹천,양재,30,30,0.0002891300000000004,1.5762194221202e-05,0.0002689999999999637,0.0003375000000001016
아현,석수,30,30,0.00019245666666667383,1.3973037926268334e-05,0.00017519999999993097,0.00023919999999999497
광나루,제물포,30,30,0.0003575599999999975,1.5833837184971723e-05,0.0003353999999999857,0.00040729999999999933
화서,덕정,30,30,0.0005459900000000073,0.00013663562334423403,0.0004253999999999092,0.0008643999999999874
영등포구청,까치산,30,30,0.00023663999999998426,4.329219791141068e-05,0.00015290000000001136,0.0003613999999999562
수리산,양천구청,30,30,0.00024347666666666803,5.204831526785205e-05,0.00017999999999995797,0.00032490000000007235
미아,금천구청,30,30,0.0003181566666666691,4.213452015734156e-05,0.0002817999999999987,0.0004975000000000396
광명,부천,30,30,0.00016331666666666856,1.4531806112419775e-05,0.0001451000000000091,0.00020620000000004524
송정,까치산,30,30,0.00014802333333332844,2.0245092958272177e-05,0.0001282999999999701,0.00023010000000001085
사당,당고개,30,30,0.000287179999999998,3.971745544048646e-05,0.0002581999999999862,0.00045960000000000445
영등포시장,성환,30,30,0.00025670999999999333,2.2770453808971366e-05,0.00023649999999997284,0.00034049999999996583
정부과천청사,양평,30,30,0.0001976933333333375,1.4137466376814585e-05,0.00017729999999993584,0.00024479999999993396
뚝섬,역곡,30,30,0.0003267333333333289,2.0779193653488724e-05,0.0003025999999999307,0.0004035000000000011
애오개,백석,30,30,0.0003641299999999958,2.073364656783533e-05,0.0003398000000000012,0.00042799999999998395
선릉,금호,30,30,0.00015563000000000659,1.4515190893211238e-05,0.00014159999999996398,0.00020359999999997047
마천,화곡,30,30,0.00036891333333333165,4.01298785888574e-05,0.0003326999999999636,0.0005370000000000097
상록수,뚝섬,30,30,0.00028189333333334955,1.630173678545967e-05,0.00025370000000002335,0.0003214000000000272
종각,영등포시장,30,30,0.00023963333333333706,9.718447521194528e-05,0.00019009999999997085,0.0006215999999999999
성균관대,보산,30,30,0.0006088899999999953,3.087581955727299e-05,0.0005665999999999727,0.0006950000000000012
신용산,구의,30,30,0.0002570533333333384,4.1611390534592273e-05,0.00021180000000009525,0.00033959999999999546
부평,고덕,30,30,0.000450693333333337,0.0001337212721380605,0.0003670999999999536,0.0009645999999999821
신대방,올림픽공원,30,30,0.00032083333333333687,5.5142871000886455e-05,0.00028799999999995496,0.0005248999999999393
선바위,굽은다리,30,30,0.0003293033333333343,3.916612893247849e-05,0.00030079999999998996,0.0004553999999999947
백운,신대방,30,30,0.00017447000000000805,2.947145681277739e-05,0.0001450999999998981,0.00023980000000001223
백운,초지,30,30,0.000351156666666678,5.707218051633254e-05,0.00030439999999998246,0.0005405000000000548
옥수,제기동,30,30,0.00018700666666666328,3.434672166144902e-05,0.0001634999999999831,0.00028489999999992133
동대문역사문화공원,석수,30,30,0.0003158000000000031,2.1830269505113118e-05,0.0002967000000000386,0.00038039999999994745
독산,상왕십리,30,30,0.00024378999999999558,3.891329978296232e-05,0.00020419999999998772,0.00033159999999998746
화정,석계,30,30,0.0002405566666666803,3.6185924366005045e-05,0.0002118999999999316,0.00033369999999999234
