line,station_name,latitude,longitude
5호선,방화,37.577669,126.812822
5호선,개화산,37.572458,126.806838
5호선,김포공항,37.56217,126.801273
5호선,송정,37.561411,126.812052
5호선,마곡,37.562182,126.82693
5호선,발산,37.562182,126.82693
5호선,우장산,37.548864,126.83633
5호선,화곡,37.541585,126.840436
5호선,까치산,37.53181,126.846706
5호선,신정(은행정),37.525001,126.856176
5호선,목동,37.526088,126.864296
5호선,오목교(목동운동장앞),37.524557,126.875049
5호선,양평,37.525614,126.886177
5호선,영등포구청,37.524209,126.895022
5호선,영등포시장,37.52276,126.905143
5호선,신길,37.51763,126.914886
5호선,여의도,37.521578,126.924318
5호선,여의나루,37.527145,126.932807
5호선,마포,37.539718,126.946043
5호선,공덕,37.544005,126.951058
5호선,애오개,37.553592,126.956733
5호선,충정로(경기대입구),37.560061,126.962783
5호선,서대문,37.565812,126.966639
5호선,광화문(세종문화회관),37.570545,126.976568
5호선,종로3가(탑골공원),37.572546,126.990447
5호선,을지로4가,37.56658,126.998127
5호선,동대문역사문화공원,37.564682,127.00533
5호선,청구,37.560237,127.01379
5호선,신금호,37.554504,127.020403
5호선,행당,37.557297,127.029482
5호선,왕십리,37.56197,127.037264
5호선,마장,37.566066,127.042921
5호선,답십리,37.566833,127.05266
5호선,장한평,37.561438,127.064601
5호선,군자(능동),37.557102,127.079559
5호선,아차산(어린이대공원후문),37.552005,127.089609
5호선,광나루(장신대),37.545301,127.103478
5호선,천호(풍납토성),37.538566,127.123539
5호선,강동,37.53581,127.13249
5호선,둔촌동,37.527787,127.136219
5호선,길동,37.538022,127.140085
5호선,올림픽공원(한국체대),37.516217,127.130957
5호선,굽은다리(강동구민회관앞),37.545442,127.142844
5호선,명일,37.551317,127.144002
5호선,방이,37.508752,127.126054
5호선,고덕,37.555002,127.154214
5호선,오금,37.502228,127.127701
5호선,상일동,37.556714,127.166381
5호선,개롱,37.498097,127.134817
5호선,강일,37.557521,127.176018
5호선,거여,37.493208,127.143983
5호선,마천,37.494972,127.152784
5호선,미사,37.56329,127.192954
5호선,하남풍산,37.552201,127.203897
5호선,하남시청(덕풍·신장),37.541723,127.206901
5호선,하남검단산역,37.539729,127.223427
